IPC,专利数,度数,聚类系数,近年增长频率
G05D1,68552,1428,0.24607268521935977,0.5120054848873847
C08K9,68547,1930,0.23756371027999149,0.3359592688228515
A61K38,68327,828,0.37748037273461005,0.3016669837692274
H01Q1,68181,1584,0.2658361660393532,0.36561505404731526
B24B41,67608,1513,0.25972098649637754,0.5694740267423973
B25J9,67588,1969,0.21578372753691247,0.47228798011481327
C07K14,67458,913,0.37113665697639353,0.3414865545969344
B08B3,67455,3199,0.15992719238115521,0.5295530353569046
G01S7,67295,1240,0.29981598609382487,0.5524927557768037
C02F3,66968,1342,0.30432267341410946,0.3648757615577589
B01J20,66496,1688,0.25946615697082975,0.33768948508180946
B29C45,65430,2493,0.18490017879627704,0.32480513525905547
G01D21,64231,3117,0.16135342795081706,0.60880260310442
B23Q3,62651,1036,0.30759594877738683,0.4191313785893282
G09F9,62303,1965,0.22560436370509887,0.41965876442546907
H02M1,62221,1149,0.29862559739269756,0.508686777775992
B01D46,62202,3215,0.16155763536907775,0.5465258351821485
A01N43,62062,1107,0.32418847137517215,0.19681930972253553
B82Y40,61433,1791,0.24763750135991386,0.4669802874676477
H05K3,61328,1604,0.26453114119530474,0.3530687451082703
G06V40,61177,1305,0.2861445818641372,0.8869673243212318
H04B1,61087,1382,0.2575401204401425,0.24609163979242718
G02B27,60904,1414,0.2697140837972788,0.3430480756600552
C08J5,60897,2127,0.21162911266201395,0.4071464932591096
C22C1,60594,1638,0.24284710227825007,0.3511898867874707
A61P11,59942,885,0.3535976867153052,0.1922358279670348
A61K39,59252,565,0.43154048911841114,0.33175251468304867
F04D29,58998,2043,0.22518997800001922,0.34774060137631785
G06N20,58774,1440,0.26239374062986653,0.9036138428556845
C23C14,58357,1958,0.22382386937170173,0.3426666895145398
B23K26,58160,2107,0.2095905999656801,0.47178473177441543
H01M8,56674,2021,0.2236611457751951,0.41267600663443554
G08B21,56483,2815,0.16943989473785345,0.5793778659065559
H02M3,56253,995,0.31274364097066565,0.38453060281229445
A61P37,56101,880,0.35673228520297245,0.2664836633928094
G06F13,55922,910,0.321923463613889,0.3259361253174064
A61K33,55750,927,0.364008424008424,0.1787982062780269
C02F103,55612,1946,0.23670970392820911,0.4286664748615407
G03F7,55268,1634,0.23640314494896672,0.2316892234204241
A61P19,54269,824,0.3812779501586991,0.19972728445337118
C12N9,53883,926,0.35555758795195413,0.37425533099493347
C08L67,52823,1983,0.228348604673693,0.3163584044828957
C08G18,52475,1733,0.24624277456647398,0.2933777989518819
B82Y30,52263,1687,0.25830120456451716,0.41134263245508296
F16M11,52037,2257,0.20363896064547482,0.5924630551338471
E04G21,51932,1583,0.2765522542214109,0.5682623430640068
A23F3,51462,814,0.37527713155928644,0.16169212234269947
H02M7,51343,1160,0.2967967004178217,0.3713651325399762
B08B13,51241,2617,0.18941191788296874,0.6737183115083625
B26D7,51218,1759,0.23047218869397126,0.46895622632668205
F26B21,51084,2639,0.18308960324735596,0.5231775115496046
A23K10,50619,775,0.3615380490518738,0.2756079732906616
H04W76,50487,640,0.4276757725033587,0.3506249133440292
F16F15,50377,3366,0.1423971717116003,0.6165909045794707
C21D1,50168,1643,0.2405121802589141,0.41157710094083877
C09J11,50164,1792,0.2434523828111582,0.3348417191611514
H01M50,50092,1847,0.2509896595712161,0.8326479278128244
B23P19,49878,1647,0.23194669388177697,0.437086491038133
G06Q20,49647,759,0.35325672908235656,0.4268334441154551
B02C23,49476,1796,0.2473001347367845,0.5623332524860538
A61L2,49465,2810,0.1694529955128459,0.5148084504194885
G01M13,49194,1456,0.2662233712728302,0.49231613611416025
C08L27,48747,2045,0.2265536796293979,0.22723449648183477
G02B5,48657,1530,0.24093884254449577,0.22048215056415316
B23P15,48017,2463,0.1754383009088116,0.374492367286586
G06F111,47962,1551,0.25287215391108375,0.9334264626162379
A23K50,47889,684,0.40329685945715504,0.25323143101756146
H04W12,47758,642,0.42148376369327073,0.379266300933875
C12M1,47553,1778,0.25539461997208474,0.41850146152713813
H04B10,47486,920,0.3389427017626389,0.34386977214336856
F16K31,47477,1892,0.22916299041232868,0.3451144764833498
H04L5,47407,339,0.5327822523668221,0.3014111840023625
H04L41,47176,490,0.5131702965630996,0.8819314905884348
C08J3,47171,1797,0.247735720740444,0.30052362680460454
H04N19,47122,332,0.5854287556415216,0.3600229192309325
G10L15,47113,1124,0.2945915045930788,0.5127671767877231
F21Y115,47071,2089,0.21670883214861117,0.27526502517473606
H05K5,46503,2143,0.2244522823206904,0.49480678665892525
H01M2,45712,1464,0.25953308595297153,0.0012906895344767238
B07B1,45541,1827,0.2346226868541216,0.5436419929294481
A61P15,45377,739,0.39980310896112325,0.16671441479163454
C01B32,45048,2044,0.23070444717761884,0.5711019357130173
A01P3,44758,1273,0.3114554229108458,0.26171857545019883
A01G9,44755,1768,0.2513957375544997,0.3150709417942129
H04W28,44671,340,0.6141204150791003,0.31911083253117234
H05K1,44640,1520,0.2612213100017978,0.3288530465949821
C21D9,44605,1672,0.23389960641927648,0.39219818406008294
C07K16,44492,525,0.4782092701259313,0.3480625730468399
H04W88,44338,854,0.3827477201635193,0.18379268347692723
B01J35,44159,1232,0.3138079078105671,0.4741049389705383
H04L27,44080,434,0.4329616739709547,0.20503629764065337
G01S19,43823,1407,0.26104672973000376,0.4927549460329051
B32B37,43786,2374,0.19556928399157042,0.30948248298542913
E21B43,43763,1512,0.24897853497118833,0.37739643077485546
H01F27,43724,1519,0.2780527808843659,0.3616320556216266
H02B1,43711,1337,0.318786674078691,0.5184278556884995
A01G1,43667,783,0.3313404904954201,0.0
G06T3,43601,784,0.36186802283124464,0.6187702116923923
C22F1,43288,1512,0.25322589847230087,0.3940352984660876
F26B25,42951,1973,0.2295858475818145,0.48990710344345884
F21V23,42507,1731,0.2422542735042735,0.1967675912202696
C08J9,42325,1821,0.24727920840462275,0.3137625516834022
H04W84,42184,969,0.3506822449316042,0.3196235539541058
A23L2,42153,848,0.36240155552757847,0.17384290560576945
H04W52,41780,496,0.5004393492703517,0.2815701292484442
B08B9,41630,2576,0.19467961325714922,0.6115301465289454
H02K1,41219,1248,0.2750868643111773,0.33241951527208324
G01S13,41122,1214,0.29024781090825846,0.535236613005204
B01J31,41043,1141,0.33814695775747544,0.37136661550081623
G01N15,41018,1788,0.26243142273706793,0.4680140426154371
B41J2,40914,1364,0.26490843629058275,0.20259568851737791
C09D133,40703,1773,0.2563542573859449,0.23865562734933543
C08F2,40483,1535,0.27913662693161245,0.22752760417953216
B01J19,40192,2281,0.20639221875805394,0.4658638535031847
B01J27,40116,1025,0.35664262089361515,0.39497955927809353
B01D29,39850,2632,0.1873953432538793,0.6344040150564617
A23K20,39763,765,0.390976357313134,0.28936448457108366
C08L83,39697,1908,0.24293004822455955,0.28589062145754085
G01R19,39671,1339,0.2842027239462735,0.4419601220034786
B01J37,39361,1084,0.3413249524213392,0.4766139071669927
F24F1,39197,999,0.3643601487192501,0.3327805699415772
G01B21,38923,2278,0.1961938237509415,0.4706214834416669
G07C9,38693,1283,0.2863863680718189,0.3693432920683328
H02J13,38690,944,0.36252484708186394,0.5765830964073404
B60R16,38681,1491,0.2579643189843801,0.4165352498642744
B24B47,38316,1236,0.28542209708436683,0.6699551101367575
A61P7,38149,826,0.38873290943623257,0.17035833180424126
G06F19,37975,1488,0.20999225090745952,0.0
B23Q11,37924,1198,0.28795986622073577,0.5507330450374434
B60L53,37835,1309,0.29151547035575903,0.7232985331042685
G08C17,37833,2108,0.19451764329040655,0.22459228715671503
B21D37,37796,1104,0.3107453873808829,0.3833209863477617
A23K1,37747,655,0.35184002104491774,0.0
H02H7,37726,1020,0.3141699169134536,0.4037268727137783
C02F11,37685,1394,0.27532908599618233,0.367122197160674
G06F113,37655,1418,0.2676398953903895,0.9469658743858718
H02K7,37654,2662,0.16916303545626005,0.4341371434641738
B22F3,37640,1647,0.2437490293523839,0.3096971307120085
F21S8,37550,1231,0.3129421181384723,0.16130492676431424
E02D5,37411,988,0.35612483396999617,0.5065355109459785
G16H50,37398,672,0.3856100662606251,0.7809775923846195
H04W36,37276,244,0.6709646445595144,0.2681349930250027
E04B2,37033,1320,0.3224185191202243,0.44684470607296195
D06M15,36978,1539,0.2560749769572761,0.2848720861052518
C09D175,36827,1653,0.266534515353413,0.3106959567708475
D06M101,36688,1518,0.26332018426117015,0.3482064980375055
A61F2,36573,1085,0.31197826261343603,0.3153966040521696
A61M5,36290,1210,0.3064683386646329,0.2744833287406999
B07C5,36243,1585,0.24454279948217192,0.5796153740032558
H02G1,36162,1367,0.29226902130127935,0.49386095901775345
H01B7,36080,1276,0.30700541743073445,0.29476164079822614
H01B13,35936,1491,0.2892059692223257,0.377560106856634
G06F12,35905,412,0.44454648458465024,0.2381562456482384
G01R1,35891,1143,0.3301228531451328,0.5809813045053077
H02K5,35818,1790,0.23418825246717218,0.42188285219721927
B32B33,35752,2534,0.1870343288249404,0.34051241888565675
B60W30,35737,666,0.3444547420451035,0.4950611411142513
C21D8,35550,879,0.3151101461499612,0.3871729957805907
B24B55,35543,1281,0.29781923230810453,0.5969107841206426
C12G3,35396,692,0.37570938768641804,0.14501638603232003
A61P39,35269,919,0.36116441976637315,0.29850576993960704
B21D43,34934,822,0.3634712171297537,0.510534150111639
A01K67,34867,975,0.3257140319490439,0.3121576275561419
H04B17,34719,569,0.44673160456434896,0.414268844148737
G06K17,34672,1666,0.23532396271797956,0.38143170281495153
G01S17,34634,1399,0.28183602603204166,0.5866200843102154
F16H57,34485,1868,0.21797712128134616,0.3637523560968537
B32B7,34293,2298,0.19463915647559837,0.3204444055638177
G06K7,34173,1610,0.2340413675245428,0.3111228162584497
B65D81,34002,1941,0.23847578172443212,0.39180048232456915
H04Q7,33963,474,0.35621109071934937,0.0
F21Y101,33897,1172,0.26972867451909366,0.0010325397527804821
H04R1,33706,1319,0.2926807033577741,0.3861627010027888
B65D25,33670,1923,0.24203810949158425,0.47511137511137513
B26D1,33586,1759,0.2301039901571715,0.4459596260346573
G01B5,33537,1542,0.2531016092419601,0.39929033604675435
C08L51,33505,1373,0.2968071682984874,0.3081928070437248
H01F41,33417,1453,0.2851179923477269,0.38962204865786876
C07K1,33127,980,0.3712943717778852,0.36085368430585324
A01P7,32911,876,0.38719950930665975,0.17231320834979186
B22F9,32909,1437,0.28899353189586885,0.41405086754383297
A01K61,32896,1185,0.3128971770127569,0.3088825389105058
A01P1,32747,1448,0.28464443136297723,0.32198369316273245
H04W48,32706,305,0.611238607304439,0.22708371552620316
G03G15,32616,865,0.306070928316212,0.07983811626195732
G01M3,32596,1720,0.26973028056760345,0.5124248374033624
B32B15,32473,2341,0.1946958096267003,0.22689619068148922
C23C16,32443,1509,0.2645643922870782,0.3205005702308664
C09D163,32239,1749,0.2625551510001436,0.2981171872576693
H04N1,32228,836,0.2978946974473243,0.15464813205907907
C08L33,32176,1816,0.25095430466355023,0.2641098955743411
A47J27,32132,1155,0.3091166160740098,0.2595854599775924
B09B3,32107,1770,0.2375911315290123,0.4405892795963497
A63F13,32102,651,0.3642498430634024,0.5479097875521775
C30B29,32077,1292,0.2954901642400515,0.38391994263802726
B25B11,32065,1389,0.2822217436492851,0.5207547169811321
C09K8,32042,926,0.360984086336199,0.3342175894138943
C07C69,31818,1136,0.3361165982525206,0.270004400025143
B22F1,31795,1481,0.2755226303110484,0.44311998741940556
F24H9,31774,1626,0.25903651026348457,0.3076099955938818
C08L63,31687,1747,0.24689676927525564,0.2775270615709913
H05B37,31336,920,0.31086972532863866,0.0
A61L27,31312,1053,0.3392542250011327,0.3307358201328564
A61P13,31198,676,0.41902372564494866,0.19453170075004808
C07D401,31119,732,0.42268072232557263,0.24075323757190142
B24B27,30984,1377,0.27030726478761413,0.6094113090627421
A01G7,30917,1313,0.2949068655708305,0.38160235469159365
B29C47,30864,1469,0.27047151940229386,0.0
H04W8,30861,363,0.5288242536164974,0.2664204011535595
C22C33,30825,1089,0.291040439413731,0.4266666666666667
E01D19,30602,1158,0.3379873874683563,0.5034311482909614
C08L77,30517,1679,0.2538450153202887,0.2737490579021529
F21V21,30381,1354,0.2955557794138902,0.3107205161120437
G02B7,30299,1017,0.33778140515541044,0.2898115449354764
B01F15,30165,1828,0.24868670197602363,0.24879827614785346
C09J7,30124,1378,0.2880993657505285,0.3510158013544018
B08B5,29953,2651,0.1782725397145819,0.7090775548359096
G06T11,29952,747,0.3539041639604532,0.5652377136752137
B60N2,29895,1214,0.2699430141197439,0.2748954674694765
B05D3,29819,2179,0.21974004634007943,0.46299339347395957
B25J11,29794,2022,0.21461315522339752,0.5538027790830369
H02K15,29781,1148,0.3074144356295297,0.3471005003189953
F21V33,29705,2507,0.17457927595288655,0.3272513044941929
A01N25,29666,1280,0.31428560924408366,0.27223083664801456
A61K45,29612,686,0.41853535742724307,0.4477238957179522
H04W16,29495,320,0.6056583933496023,0.2897440244109171
D01D5,29465,1314,0.3115430410597012,0.31104700492109283
B23K9,29433,1121,0.31288158191331705,0.30856521591411
C04B24,29406,947,0.3740897677338355,0.33710807318234376
A01H5,29217,323,0.5070872274143302,0.40377177670534276
F21V29,28969,921,0.36598936515725866,0.1472263454037074
H01L25,28960,710,0.3483726096580602,0.3573549723756906
A47J36,28925,1223,0.3037955988775661,0.31014693171996544
H01R43,28906,1146,0.3191790711475751,0.3584376945962776
C09D11,28777,1420,0.27279170021888155,0.2357438231921326
A01G17,28771,776,0.363598985127912,0.2867818289249592
B01J29,28672,629,0.41340935842365134,0.28065708705357145
B01F7,28663,1924,0.23135712896671382,0.24153089348637616
F21V19,28649,1076,0.32620908328864406,0.1706865859192293
G06N5,28525,830,0.35110024592701633,0.8967922874671341
C22C21,28474,1342,0.28369132678653036,0.3094050712931095
C08L9,28377,1451,0.27972329936058016,0.2234203756563414
D06M11,28321,1430,0.27984214007957775,0.31467815401998517
C08L75,28285,1845,0.24138404374211664,0.3268516881739438
A01G13,28243,1282,0.291590109460516,0.37545586517013063
D06M13,28155,1424,0.2705608360032504,0.2826496181850471
B25J19,28110,1607,0.26711026172885544,0.5227676983279972
A01G22,27977,933,0.34116396983241515,0.5086320906458877
G06K19,27953,1679,0.23870119815615737,0.21368010589203307
C25B1,27827,1582,0.26283739909091636,0.6183203363639631
B05B13,27780,1689,0.2659004979112479,0.5467602591792656
E01D21,27588,841,0.37890601665239615,0.5130129041612295
A61B1,27499,901,0.36902423132854867,0.3708134841266955
C04B111,27400,1133,0.3388089481467571,0.5092700729927008
C07C51,27367,1130,0.3337109126721919,0.2687177988087843
B02C18,27290,1706,0.24483099418590226,0.4545254672041041
B65D85,27285,1694,0.2494523223350431,0.29004947773501927
E06B3,27283,1613,0.26939634731716344,0.2949089176410219
A61M1,27279,1128,0.3086544306295638,0.3863044833021738
D01F1,27241,1399,0.29423057595789587,0.39789288205278805
H04L25,27228,379,0.48995428635927535,0.2404510063170266
G01N29,27153,1379,0.3031035196162875,0.4320332928221559
C04B38,27140,1231,0.33218792323411156,0.3105379513633014
F16K27,27050,1419,0.2786293554059065,0.47171903881700555
E21B47,27044,936,0.34537342412746064,0.4574767046294927
G01M17,27030,990,0.33075323332882123,0.4787273399926008
E02D17,26967,1038,0.34514576688489734,0.5787443912930619
C07C67,26965,1029,0.36160318572044087,0.280474689412201
A61B6,26959,872,0.3301482745393701,0.2822434066545495
C04B41,26951,1541,0.269298203366143,0.32744610589588513
B66C13,26928,1364,0.2862109034883006,0.5531788472964944
G02B1,26926,1228,0.2939055165296135,0.3014929807620887
A23L5,26866,1056,0.3268118018276146,0.41412938286309836
G05B13,26802,1360,0.24615396303246245,0.44116110738004627
B32B9,26765,2230,0.20519630550152002,0.28828694190173737
B60H1,26601,1202,0.29309424520433697,0.42099921055599415
G01V1,26592,682,0.4222125963787577,0.40666365824308065
G03B21,26589,1076,0.3325992145102143,0.26044604911805636
B23P23,26586,1227,0.276672002134187,0.49947340705634546
C08B37,26581,1178,0.33284411636995226,0.30931868627967346
C01B33,26487,1499,0.2843065810765917,0.30282780231811834
G10L25,26387,714,0.379442627095877,0.643309205290484
H05B33,26381,1238,0.2650315108158746,0.03525264394829612
F21V17,26320,821,0.36302844126805006,0.16474164133738603
A23L19,26217,594,0.42803082270087345,0.238623793721631
G06T19,26132,752,0.3767476635514019,0.6176335527322823
C08G63,26082,1249,0.3207235084910044,0.27409707844490455
B65G43,26018,1459,0.26871884121369366,0.5905911292182335
F16J15,25986,2269,0.20497790354022233,0.30035403678904027
F25B41,25980,951,0.32440543676888395,0.39260969976905313
B05B15,25819,1794,0.25797825935231716,0.5272861071304078
C05F17,25768,751,0.38838951043459014,0.3097252406085067
G01N23,25661,1445,0.27844210368482214,0.4334593351778964
E21D11,25571,1010,0.3555390047445658,0.5031480974541472
F24C15,25570,1088,0.33124220281589734,0.32561595619867034
G02B13,25555,378,0.48411347517730496,0.3757777342985717
F01N3,25421,1072,0.2819684743362213,0.2303213878289603
D01F6,25385,1343,0.29633488040780437,0.3383888122907229
B05C11,25048,1556,0.27943424981415965,0.4937719578409454
H02S20,25013,1656,0.2779680928962108,0.5594690760804382
B32B3,25013,2245,0.2038428207411461,0.29492663814816295
F25D23,24948,1315,0.3124698140545762,0.3599086099086099
G06T15,24902,499,0.45200233660024663,0.5738494900008031
H04L43,24696,433,0.575891652727567,0.8917233560090703
A61N5,24689,1393,0.2803872789618772,0.35882376766981244
C07D471,24671,689,0.4268314936704563,0.2871792793157959
C12P7,24638,877,0.37207453416149067,0.2719376572773764
C12P19,24501,864,0.3727091198654777,0.3287212766825844
C08L91,24469,1552,0.2637472667069285,0.25497568351792066
B25J15,24403,1390,0.27256908011610487,0.45662418555095685
B29C65,24379,2039,0.21389703066935561,0.4272119447065097
B01D50,24370,1651,0.2519061272792572,0.33988510463684857
B29C64,24333,1543,0.2750642608527099,0.45107467225578435
A01N37,24312,936,0.3657424301888178,0.23124383020730505
H04N23,24216,1711,0.24955155445136165,0.9108440700363396
G06F15,24163,780,0.3214624834162109,0.32036584861151346
H01S3,24090,802,0.3244931163954944,0.31465338314653385
G06T1,23987,896,0.30807598748406073,0.40088381206486845
B33Y10,23982,1675,0.2569046236740577,0.5607955966975231
B08B15,23877,2220,0.20588305873175272,0.5857519788918206
B29C70,23872,1652,0.2363379091092857,0.3570291554959786
A23L7,23866,620,0.417575385648272,0.2572278555266907
B66C1,23849,1210,0.31002238597145787,0.4988888422994675
A61F13,23837,1115,0.3094720988707686,0.22062340059571256
C07C29,23786,1010,0.34035954666540563,0.2841587488438577
E21D9,23781,1089,0.33068526246058816,0.5174719313737858
A61P27,23573,689,0.4131242016457238,0.2200822975438001
A01G25,23515,1239,0.3071045671095902,0.4241547948118222
A01N47,23494,752,0.4173529149977748,0.15442240572060953
A01C1,23465,860,0.3529278966851896,0.2754314937140422
G01L5,23391,1912,0.22533109903762558,0.4806122012739943
C10N30,23361,1006,0.3031741429099157,0.22550404520354436
H04W64,23358,533,0.48194577692499024,0.37160715814710166
B05D7,23351,2131,0.2209759073588151,0.39450130615391205
A61B8,23337,745,0.4060467326675204,0.33410464069931867
H04N13,23285,649,0.4092142347868945,0.2111659866867082
B66B5,23258,732,0.40792603867185295,0.3373032934904119
B29L31,23251,1592,0.2510926139219714,0.5011827448281795
H02J50,23238,1427,0.2790853538340233,0.45937688269214216
H04N9,23199,669,0.3985664825245035,0.23483770852191904
H02S40,23192,1606,0.28036661309919214,0.5692048982407727
C01B3,23173,1330,0.2549833849338575,0.40335735554308894
A01N63,23134,628,0.41144536741214055,0.3817325149131149
C12P21,23097,676,0.4290369090083377,0.28969130190067977
C07D487,23010,823,0.4040699919788479,0.2833985223815732
F02D41,22990,669,0.29826077952014984,0.26006959547629405
C11D3,22977,1172,0.31228824402477096,0.18253035644339993
B33Y30,22961,1202,0.3197859327217125,0.43138365053786853
B60W40,22948,553,0.4032601880877743,0.552422869095346
B65G15,22942,1855,0.2378811314091095,0.5916223520181327
A01N65,22907,942,0.3483991570933315,0.15746278430174182
B01F35,22837,1916,0.24324959128571436,0.9635678942067697
C07F9,22817,1135,0.3309157650816027,0.28509444712275933
C04B18,22804,905,0.3690801541056788,0.3438870373618663
B22D11,22762,881,0.34382620548822046,0.3596344785168263
G05B23,22747,818,0.3449717310236978,0.40827361849914273
C08F222,22731,1370,0.30852445060468775,0.3912278386344639
C07D307,22695,974,0.35814971625705116,0.32042300066093854
C09K3,22667,1840,0.23153139758666463,0.1596152997750033
A61N1,22631,1194,0.31744515634597287,0.3574300737925854
C22B7,22512,933,0.3318919418361572,0.39632196162046907
F24F110,22497,753,0.4137381269418553,0.6010579188336223
B02C4,22483,1497,0.2683295053122188,0.6066361250722768
H04M3,22451,334,0.5487205620063335,0.18711861387020623
C05G1,22448,687,0.38304947283049473,0.11658054169636493
B60W50,22432,567,0.40836000753153834,0.6159950071326676
E02D29,22417,1124,0.3376823278171864,0.46299683276085113
G01B7,22403,1879,0.23293419499655235,0.4148105164486899
G01N25,22353,1356,0.3187478779581673,0.45752248020399944
A47L11,22333,1121,0.3278850750014788,0.5877848923118255
B01D71,22327,965,0.37627778749274077,0.3254803601021185
A61L9,22308,1946,0.23554111096285282,0.28702707548861395
B23Q7,22277,708,0.3395736644365419,0.46675943798536607
H02G3,22156,1477,0.2936559115056459,0.4470120960462177
H01F1,22121,1276,0.29820656282332864,0.27087383029700285
